Business Name,Business Type,City,Rating,Reviews,Phone,Website,Google Maps URL,Priority
"NAPA Auto Parts","auto repair shops","Cleveland, Ohio",3.2,12,"TBD","TBD","https://www.google.com/maps/place/NAPA+Auto+Parts/data=!4m7!3m6!1s0x8830fba4a54c4ecd:0x533e86d6aab47c5a!8m2!3d41.462032!4d-81.64206!16s%2Fg%2F11khb6hkfd!19sChIJzU5MpaT7MIgRWny0qtaGPlM?authuser=0&hl=en&rclk=1","HIGH"
"Car Factory Outlet Used Cars","car dealerships","Miami, Florida",4,6051,"TBD","TBD","https://www.google.com/maps/place/Car+Factory+Outlet+Used+Cars/data=!4m7!3m6!1s0x88d9b76f36d1e169:0xc4665137e821b66c!8m2!3d25.7793445!4d-80.2636483!16s%2Fg%2F1tfh_d3c!19sChIJaeHRNm-32YgRbLYh6DdRZsQ?authuser=0&hl=en&rclk=1","HIGH"
"Chapman Las Vegas Jeep","car dealerships","Las Vegas, Nevada",3.6,128,"TBD","TBD","https://www.google.com/maps/place/Chapman+Las+Vegas+Jeep/data=!4m7!3m6!1s0x80c8c4ba00ffffff:0xcaf6a832d860beb2!8m2!3d36.143933!4d-115.106304!16s%2Fg%2F11rvc2cgpq!19sChIJ____ALrEyIARsr5g2DKo9so?authuser=0&hl=en&rclk=1","HIGH"
"Newport Motors- Used Car Dealer","car dealerships","Las Vegas, Nevada",4.1,585,"TBD","TBD","https://www.google.com/maps/place/Newport+Motors-+Used+Car+Dealer/data=!4m7!3m6!1s0x80c8c4bc448deb85:0x7d77dea1d35019ce!8m2!3d36.1436111!4d-115.1138889!16s%2Fg%2F11_v6rsx1!19sChIJheuNRLzEyIARzhlQ06Hed30?authuser=0&hl=en&rclk=1","HIGH"
"Carvana Atlanta","car dealerships","Atlanta, Georgia",4,2209,"TBD","TBD","https://www.google.com/maps/place/Carvana+Atlanta/data=!4m7!3m6!1s0x88f504937bdcd3b3:0xc70bf06e44d6819e!8m2!3d33.7896077!4d-84.3930077!16s%2Fg%2F1pzvqy5ss!19sChIJs9Pce5ME9YgRnoHWRG7wC8c?authuser=0&hl=en&rclk=1","HIGH"
"Pepe's Towing Service","towing services","Los Angeles, California",3.9,155,"TBD","TBD","https://www.google.com/maps/place/Pepe%27s+Towing+Service/data=!4m7!3m6!1s0x80c2c61d3cc7aff9:0xe5048a0e833cb54c!8m2!3d34.0350496!4d-118.2188482!16s%2Fg%2F1td42rtl!19sChIJ-a_HPB3GwoARTLU8gw6KBOU?authuser=0&hl=en&rclk=1","HIGH"
"Express Local Service","locksmith services","San Antonio, Texas",4,317,"TBD","TBD","https://www.google.com/maps/place/Express+Local+Service/data=!4m7!3m6!1s0x865c60376a24c0d7:0x8f1e28ffff108a89!8m2!3d29.5523574!4d-98.5022081!16s%2Fg%2F11hbnwm5j8!19sChIJ18AkajdgXIYRiYoQ__8oHo8?authuser=0&hl=en&rclk=1","HIGH"
"TruGreen Lawn Care","lawn care services","Birmingham, Alabama",4.1,720,"TBD","TBD","https://www.google.com/maps/place/TruGreen+Lawn+Care/data=!4m7!3m6!1s0x88891efe0964bcf7:0x1efd991a5896f640!8m2!3d33.4440768!4d-86.8580711!16s%2Fg%2F1tdc1dpb!19sChIJ97xkCf4eiYgRQPaWWBqZ_R4?authuser=0&hl=en&rclk=1","HIGH"
"TB Nail Spa - Fresno ( ğƒğˆğ’ğ‚ğğ”ğğ“ ğŸğŸ% ğğ…ğ… ğ…ğğ‘ ğğ„ğ– ğ‚ğ”ğ’ğ“ğğŒğ„ğ‘ğ’ ğğ ğğˆğ‹ğ‹ğ’ ğğ… $ğŸ‘0 ğ€ğğƒ ğ”ğ )","nail salons","Fresno, California",4.1,337,"TBD","TBD","https://www.google.com/maps/place/TB+Nail+Spa+-+Fresno+%28+%F0%9D%90%83%F0%9D%90%88%F0%9D%90%92%F0%9D%90%82%F0%9D%90%8E%F0%9D%90%94%F0%9D%90%8D%F0%9D%90%93+%F0%9D%9F%8F%F0%9D%9F%8E%25+%F0%9D%90%8E%F0%9D%90%85%F0%9D%90%85+%F0%9D%90%85%F0%9D%90%8E%F0%9D%90%91+%F0%9D%90%8D%F0%9D%90%84%F0%9D%90%96+%F0%9D%90%82%F0%9D%90%94%F0%9D%90%92%F0%9D%90%93%F0%9D%90%8E%F0%9D%90%8C%F0%9D%90%84%F0%9D%90%91%F0%9D%90%92+%F0%9D%90%8E%F0%9D%90%8D+%F0%9D%90%81%F0%9D%90%88%F0%9D%90%8B%F0%9D%90%8B%F0%9D%90%92+%F0%9D%90%8E%F0%9D%90%85+$%F0%9D%9F%910+%F0%9D%90%80%F0%9D%90%8D%F0%9D%90%83+%F0%9D%90%94%F0%9D%90%8F+%29/data=!4m7!3m6!1s0x8094438d0d29779f:0x2d89b349da5ba643!8m2!3d36.8350044!4d-119.7889952!16s%2Fg%2F11gxsfn59p!19sChIJn3cpDY1DlIARQ6Zb2kmziS0?authuser=0&hl=en&rclk=1","HIGH"
"Super Nails Spa","nail salons","Fresno, California",4.1,240,"TBD","TBD","https://www.google.com/maps/place/Super+Nails+Spa/data=!4m7!3m6!1s0x80945d74e0b580c7:0xa392ccaa2815364e!8m2!3d36.7809327!4d-119.7728907!16s%2Fg%2F11h_7kx6wm!19sChIJx4C14HRdlIARTjYVKKrMkqM?authuser=0&hl=en&rclk=1","HIGH"
"Emidio's Pizza","pizza places","Akron, Ohio",3.2,1041,"TBD","TBD","https://www.google.com/maps/place/Emidio%27s+Pizza/data=!4m7!3m6!1s0x88312826bbac41ef:0x24cdf259dcba3cbf!8m2!3d41.102376!4d-81.51123!16s%2Fg%2F1tc_99wz!19sChIJ70GsuyYoMYgRvzy63FnyzSQ?authuser=0&hl=en&rclk=1","HIGH"
"Davinciâ€™s","pizza places","Akron, Ohio",4,240,"TBD","TBD","https://www.google.com/maps/place/Davinci%E2%80%99s/data=!4m7!3m6!1s0x8830d6244661cf2d:0x235ea5ce14e4879d!8m2!3d41.0760228!4d-81.5228447!16s%2Fg%2F1td38w_d!19sChIJLc9hRiTWMIgRnYfkFM6lXiM?authuser=0&hl=en&rclk=1","HIGH"